created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Nov 21 09:42:07 +0000 2022,1.59462720596307E+018,"Dalam kondisi dunia yang sangat rentan seperti ini, menjelang Pemilu 2024, kita semua harus menjaga situasi politik tetap adem. Hangat bisa, jangan panas.  Para capres maupun cawapres yang ikut kontestasi politik mendatang hendaknya mengedepankan politik gagasan, politik ide. https://t.co/4cAvZTIwsL",154,778,1069,6929,in,366987179,1.59462720596307E+018,jokowi,https://twitter.com/jokowi/status/1594627205963079681
Sat Nov 19 06:53:20 +0000 2022,1.59385995350022E+018,"Ada himbauan menarik dari pidato Pembukaan Muktamar Muhammadiyah Ke 48. Pesan Ketum Muhammadiyah Haedar Nashir: Pd pemilu 2024 hendaknya kita bersikap Ksatria Pancasila"". Pesan Ketum Aisyiyah Siti Nur Jannah: ""Pemilu 2024 hrs dilaksanakan scr berkeadaban dan tdk transaksional"". https://t.co/wWIpD9KLMD""",27,360,223,2035,in,282006208,1.59385995350022E+018,mohmahfudmd,https://twitter.com/mohmahfudmd/status/1593859953500225538
Fri Nov 18 09:00:41 +0000 2022,1.59352961789346E+018,"Hasil Survei Voxpol: Anies Capres Paling Layak di Pemilu 2024  Jangan diretweet guys, ntar gue dibullyðŸ¤ª https://t.co/RxmZao1zYJ",34,305,1062,2703,in,1.33485348101905E+018,1.59352961789346E+018,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1593529617893462016
Thu Nov 10 14:01:07 +0000 2022,1.59070612030976E+018,"PSI Belum Penuhi Syarat Pemilu 2024. Sedih jg ya klo sampe ngga LOLOS, ntar nyari yg lucu dimana? ðŸ™ˆ https://t.co/XjgUyGTFhw",47,254,231,1154,in,1.46665130810287E+018,1.59070612030976E+018,papa_loren,https://twitter.com/papa_loren/status/1590706120309768194
Wed Nov 09 06:46:59 +0000 2022,1.5902344807445E+018,"Ketum Muhammadiyah: Negara Jangan Ikut Terlibat Kontestasi Pemilu 2024, Sindir Siapa? https://t.co/qMxGqR1XN1",17,102,383,1468,in,30201110,1.5902344807445E+018,alisyarief,https://twitter.com/alisyarief/status/1590234480744501250
Mon Oct 31 07:34:08 +0000 2022,1.58698485545941E+018,Partai NasDem bebaskan @aniesbaswedan untuk menentukan sendiri siapa cawapres yang akan mendampinginya pada Pemilu 2024.  Hal tersebut disampaikan oleh Ketua Umum Surya Paloh saat pendeklarasian capres oleh Partai NasDem.   #PartaiNasDem  #NasDemMemanggil #NasDemBersamaRakyat https://t.co/Oe8cRYGo86,31,282,386,2148,in,109149190,1.58698485545941E+018,NasDem,https://twitter.com/NasDem/status/1586984855459414016
Mon Oct 31 04:45:54 +0000 2022,1.58694251644387E+018,Mayoritas bekas anggota kelompok penyelenggara pemungutan suara (KPPS) menolak dilibatkan lagi dalam Pemilu 2024. #KoranTempo https://t.co/3P0Z7EZjRx,73,136,656,1678,in,20963426,1.58694251644387E+018,korantempo,https://twitter.com/korantempo/status/1586942516443877376
Mon Oct 17 13:53:50 +0000 2022,1.58200697875034E+018,"Menangkan pemilu 2024 sebagai warga negara yang bertanggung jawab  Keren Anies punya penasihat seperti ini, Agak tenang kita! https://t.co/XAokTESVIB",24,64,558,1553,in,1.06837129329094E+018,1.58200697875034E+018,BosPurwa,https://twitter.com/BosPurwa/status/1582006978750341122
Sat Oct 15 07:12:39 +0000 2022,1.58118123969579E+018,"PSI Temui PAN, Bahas Pemilu 2024 dan Tawarkan Ganjar Pranowo sebagai Capres.  Parnoko alias ga lolos ke senayan aja byk gaya. Sok punya bergaining posisi. Bikin ngakak! ðŸ˜‚ðŸ˜‚ðŸ˜‚",28,241,287,1532,in,105085302,1.58118123969579E+018,bachrum_achmadi,https://twitter.com/bachrum_achmadi/status/1581181239695794176
Thu Oct 13 15:21:40 +0000 2022,1.58057953134551E+018,Labeling ini tidak bagus mas andi karena cara ini dulu kita tentang di zaman orba. Pemilu 2024 antara anda dan mas hasto yg se-generasi harus mulai bertarung gagasan2 besar. Bangsa ini memerlukan arah baru cara bertengkar yang beradab dan masuk akal. Setuju kan?,25,341,284,1307,in,120968478,1.58057953134551E+018,Fahrihamzah,https://twitter.com/Fahrihamzah/status/1580579531345518592
Sun Oct 09 04:08:52 +0000 2022,1.57896066235279E+018,Ada yg keluar tp jauh lbh byk yg masuk @NasDem. Data Pak @PeterGontha ini valid. Banyak pendukung Anies bilang mereka akan mencoblos partai2 yg dukung Anies di Pemilu 2024 nanti. Mereka ingin perubahan positif spt Jakarta. Apakah kamu jg YES?   Yuk RT.  https://t.co/bftZ1SGQ5l,36,239,590,1808,in,147063992,1.57896066235279E+018,tatakujiyati,https://twitter.com/tatakujiyati/status/1578960662352793600
Wed Oct 05 07:09:06 +0000 2022,1.57755646864289E+018,Saya sebagai kader #Nasdem  tidak akan mendukung Anis di pemilu 2024. https://t.co/eu1COWCbIw,47,173,391,2311,in,1.45662160669701E+018,1.57755646864289E+018,Pumar67668389,https://twitter.com/Pumar67668389/status/1577556468642897920
Tue Oct 04 09:59:14 +0000 2022,1.57723689556984E+018,Kekhawatiran banyak kalangan bahwa KPK dapat menjadi alat politik penguasa dalam Pemilu 2024 sangat mungkin terjadi.  Indikasi tersebut terlihat dari pengusutan dugaan korupsi Formula E yang bisa menyeret Anies Baswedan. #KoranTempo #FormulaE #AniesBaswedan https://t.co/ZC0yKlOTmW,72,293,980,2333,in,20963426,1.57723689556984E+018,korantempo,https://twitter.com/korantempo/status/1577236895569846272
Mon Oct 03 11:55:30 +0000 2022,1.57690377014308E+018,"Pidato Anies Baswedan setelah dinyatakan Partai NasDem sebagai Capres Pemilu 2024  Mari turun tangan berjuang bersama, jangan biarkan orang baik berjuang sendirian. #dukungnasdem https://t.co/o4Lw3QupOi",30,161,484,2025,in,7.1972592521517E+017,1.57690377014308E+018,marlina_idha,https://twitter.com/marlina_idha/status/1576903770143084544
Mon Oct 03 04:45:59 +0000 2022,1.57679567684693E+018,Hari ini Partai NasDem mendeklarasikan calon presiden kami untuk Pemilu 2024 adalah Pak @aniesbaswedan https://t.co/MMN8MEobYX,108,960,665,3763,in,438017429,1.57679567684693E+018,pranandapaloh,https://twitter.com/pranandapaloh/status/1576795676846936064
Mon Oct 03 03:44:09 +0000 2022,1.57678011675922E+018,Partai @NasDem resmi mengumumkan Gubernur DKI Jakarta @aniesbaswedan sebagai bakal calon Presiden di Pemilu 2024. Pengumuman itu disampaikan langsung oleh Ketua Umum NasDem Surya Paloh. #BreakingNews https://t.co/r4Nm0YHzYx https://t.co/8dKunvC2D4,109,179,568,2441,in,7.59692754985242E+017,1.57678011675922E+018,kumparan,https://twitter.com/kumparan/status/1576780116759224320
Mon Oct 03 00:36:31 +0000 2022,1.57673289832917E+018,"Duit ora payu!! Warga ds Narukan kec Kragan kab.Rembang JaTeng,mrayakan kmenangan Gus Faruq (adk spupu Gus Baha) di pilihan lurah. Walau lawanya diduga bagi2i uang 700rb/kepala nmun wrga ttp pilih calon yg kredibel. Uang ga laku!! Smoga ini menginspirasi masy Ind di pemilu 2024 https://t.co/acNUj2YiAn",99,167,1151,3543,in,1.51805585956938E+018,1.57673289832917E+018,JarnasABW,https://twitter.com/JarnasABW/status/1576732898329174016
Thu Sep 29 22:45:36 +0000 2022,1.57561781801533E+018,Gus Yahya Menolak Organisasi NU Dijadikan Alat Politik Pemilu 2024.  Percaya ga klen sodara2? Aku sih gak percaya klo melihat sepak terjang NU zaman now! ðŸ¤£ðŸ¤£ðŸ¤£,35,299,258,1707,in,105085302,1.57561781801533E+018,bachrum_achmadi,https://twitter.com/bachrum_achmadi/status/1575617818015330304
Tue Sep 27 11:28:29 +0000 2022,1.57472264094603E+018,"Istana Panik! Skenario Kecurangan Pemilu 2024, Mulai Dibongkar SBY https://t.co/kxL9PGWibv",19,71,558,1901,in,1.2264360916175E+018,1.57472264094603E+018,keuangannews_id,https://twitter.com/keuangannews_id/status/1574722640946032640
Mon Sep 26 22:21:07 +0000 2022,1.57452449413536E+018,"Istana Panik! Skenario Kecurangan Pemilu 2024, Mulai DibongkarÂ SBY https://t.co/kxL9PGVKlX",45,144,1207,3595,in,1.2264360916175E+018,1.57452449413536E+018,keuangannews_id,https://twitter.com/keuangannews_id/status/1574524494135365632
Mon Sep 26 05:16:15 +0000 2022,1.57426657894193E+018,"@ernestprakasa Kalo ibuk ini menang di pemilu 2024 fix sih ada yg salah,krn dari survey normal netizen aja udah 99.9% gk percaya sma banteng ini,sprti mereka mau membuat negara atas kekeluargaan negara banteng",9,39,155,2902,in,1.44778636902402E+018,1.57426184294357E+018,KeluhNamanya,https://twitter.com/KeluhNamanya/status/1574266578941931520
Mon Sep 26 02:47:53 +0000 2022,1.57422924060178E+018,Kondom Bergerigi memfitnah Jokowi mengatur Pemilu 2024 hanya 2 paslon   Ngomong tanpa bukti...jadi siapa penjahat sesungguhnya !?ðŸ¤”ðŸ™„ https://t.co/evJT7dMAZu,119,508,343,1053,in,1.21115384012215E+018,1.57422924060178E+018,alextham878,https://twitter.com/alextham878/status/1574229240601780224
Sat Sep 24 15:25:24 +0000 2022,1.57369510003488E+018,Pengamat Politik: Tito Karnavian Diduga Persiapkan Rekayasa Pemilu 2024 https://t.co/K6Yy5yHo40,59,299,992,3013,in,30201110,1.57369510003488E+018,alisyarief,https://twitter.com/alisyarief/status/1573695100034887680
Sat Sep 24 14:36:18 +0000 2022,1.57368274280998E+018,Akankah @NasDem  berkolaborasi dgn mereka di pemilu 2024? https://t.co/QZWi35zNcx,92,260,454,1136,in,1.48482571952419E+018,1.57368274280998E+018,kangwaqfi2,https://twitter.com/kangwaqfi2/status/1573682742809985025
